CÓDIGO DO MUNICÍPIO - TOM;CÓDIGO DO MUNICÍPIO - IBGE;MUNICÍPIO - TOM;MUNICÍPIO - IBGE;UF
1;1100106;GUAJARÁ-MIRIM;Guajará-Mirim;RO
2;1100379;ALTO ALEGRE DOS PARECIS;Alto Alegre dos Parecis;RO
3;1100205;PORTO VELHO;Porto Velho;RO
4;1100452;BURITIS;Buritis;RO
5;1100122;JI-PARANÁ;Ji-Paraná;RO
6;1100924;CHUPINGUAIA;Chupinguaia;RO
7;1100023;ARIQUEMES;Ariquemes;RO
8;1100940;CUJUBIM;Cujubim;RO
9;1100049;CACOAL;Cacoal;RO
10;1101435;NOVA UNIÃO;Nova União;RO
11;1100189;PIMENTA BUENO;Pimenta Bueno;RO
12;1101450;PARECIS;Parecis;RO
13;1100304;VILHENA;Vilhena;RO
14;1101468;PIMENTEIRAS DO OESTE;Pimenteiras do Oeste;RO
15;1100114;JARU;Jaru;RO
16;1101476;PRIMAVERA DE RONDÔNIA;Primavera de Rondônia;RO
17;1100155;OURO PRETO DO OESTE;Ouro Preto do Oeste;RO
18;1101484;SÃO FELIPE D'OESTE;São Felipe D'Oeste;RO
19;1100254;PRESIDENTE MÉDICI;Presidente Médici;RO
20;1101492;SÃO FRANCISCO DO GUAPORÉ;São Francisco do Guaporé;RO
21;1100080;COSTA MARQUES;Costa Marques;RO
22;1101559;TEIXEIRÓPOLIS;Teixeirópolis;RO
23;1100064;COLORADO DO OESTE;Colorado do Oeste;RO
24;1101757;VALE DO ANARI;Vale do Anari;RO
25;1100098;ESPIGÃO D'OESTE;Espigão D'Oeste;RO
26;1400027;AMAJARI;Amajari;RR
27;1100056;CEREJEIRAS;Cerejeiras;RO
28;1400175;CANTÁ;Cantá;RR
29;1100288;ROLIM DE MOURA;Rolim de Moura;RO
30;1400233;CAROEBE;Caroebe;RR
31;5204557;CALDAZINHA;Caldazinha;GO
32;1400282;IRACEMA;Iracema;RR
33;1100015;ALTA FLORESTA D'OESTE;Alta Floresta D'Oeste;RO
34;1400456;PACARAIMA;Pacaraima;RR
35;1100346;ALVORADA D'OESTE;Alvorada D'Oeste;RO
36;1400472;RORAINÓPOLIS;Rorainópolis;RR
37;1100031;CABIXI;Cabixi;RO
38;1400704;UIRAMUTÃ;Uiramutã;RR
39;1100130;MACHADINHO D'OESTE;Machadinho D'Oeste;RO
40;1500859;ANAPU;Anapu;PA
41;1100148;NOVA BRASILÂNDIA D'OESTE;Nova Brasilândia D'Oeste;RO
42;1501253;BANNACH;Bannach;PA
43;1100296;SANTA LUZIA D'OESTE;Santa Luzia D'Oeste;RO
44;1501451;BELTERRA;Belterra;PA
45;1100320;SÃO MIGUEL DO GUAPORÉ;São Miguel do Guaporé;RO
46;1501956;CACHOEIRA DO PIRIÁ;Cachoeira do Piriá;PA
47;1100338;Nova Mamoré;Nova Mamoré;RO
48;1502152;CANAÃ DOS CARAJÁS;Canaã dos Carajás;PA
49;5212055;JESÚPOLIS;Jesúpolis;GO
50;1502855;CURUÁ;Curuá;PA
51;5218391;PROFESSOR JAMIL;Professor Jamil;GO
52;1503044;FLORESTA DO ARAGUAIA;Floresta do Araguaia;PA
53;5219738;SANTO ANTÔNIO DE GOIÁS;Santo Antônio de Goiás;GO
54;1504422;MARITUBA;Marituba;PA
55;5205513;COCALZINHO DE GOIÁS;Cocalzinho de Goiás;GO
56;1504976;NOVA IPIXUNA;Nova Ipixuna;PA
57;5221197;TEREZÓPOLIS DE GOIÁS;Terezópolis de Goiás;GO
58;1505635;PIÇARRA;Piçarra;PA
59;5221577;UIRAPURU;Uirapuru;GO
60;1505650;PLACAS;Placas;PA
61;5203962;BURITINÓPOLIS;Buritinópolis;GO
62;1506112;QUATIPURU;Quatipuru;PA
63;5203939;BURITI DE GOIÁS;Buriti de Goiás;GO
64;1507466;SÃO JOÃO DA PONTA;São João da Ponta;PA
65;5209291;GUARAÍTA;Guaraíta;GO
66;1507755;SAPUCAIA;Sapucaia;PA
67;5222203;VILA BOA;Vila Boa;GO
68;1508035;TRACUATEUA;Tracuateua;PA
69;5209937;INACIOLÂNDIA;Inaciolândia;GO
70;1600808;VITÓRIA DO JARI;Vitória do Jari;AP
71;5201454;APARECIDA DO RIO DOCE;Aparecida do Rio Doce;GO
72;1700301;AGUIARNÓPOLIS;Aguiarnópolis;TO
73;5205471;CHAPADÃO DO CÉU;Chapadão do Céu;GO
74;1703057;BANDEIRANTES DO TOCANTINS;Bandeirantes do Tocantins;TO
75;5216452;PEROLÂNDIA;Perolândia;GO
76;1703073;BARRA DO OURO;Barra do Ouro;TO
77;5205497;CIDADE OCIDENTAL;Cidade Ocidental;GO
78;1704600;CHAPADA DE AREIA;Chapada de Areia;TO
79;5213772;MONTIVIDIU DO NORTE;Montividiu do Norte;GO
80;1705102;CHAPADA DA NATIVIDADE;Chapada da Natividade;TO
81;5205059;CASTELÂNDIA;Castelândia;GO
82;1706258;CRIXÁS DO TOCANTINS;Crixás do Tocantins;TO
83;5219712;SANTO ANTÔNIO DA BARRA;Santo Antônio da Barra;GO
84;1709807;IPUEIRAS;Ipueiras;TO
85;5200555;ALTO HORIZONTE;Alto Horizonte;GO
86;1712157;LAVANDEIRA;Lavandeira;TO
87;5214879;NOVA IGUAÇU DE GOIÁS;Nova Iguaçu de Goiás;GO
88;1712454;LUZINÓPOLIS;Luzinópolis;TO
89;5103379;COTRIGUAÇU;Cotriguaçu;MT
90;1713700;MONTE SANTO DO TOCANTINS;Monte Santo do Tocantins;TO
91;5106455;PLANALTO DA SERRA;Planalto da Serra;MT
92;1715507;OLIVEIRA DE FÁTIMA;Oliveira de Fátima;TO
93;5107404;SÃO PEDRO DA CIPA;São Pedro da Cipa;MT
94;1718451;PUGMIL;Pugmil;TO
95;5106653;PONTAL DO ARAGUAIA;Pontal do Araguaia;MT
96;1718899;SANTA RITA DO TOCANTINS;Santa Rita do Tocantins;TO
97;5107065;QUERÊNCIA;Querência;MT
98;1720002;SANTA TEREZINHA DO TOCANTINS;Santa Terezinha do Tocantins;TO
99;5107198;RIBEIRÃOZINHO;Ribeirãozinho;MT
100;1720978;TALISMÃ;Talismã;TO
101;5106851;PORTO ESTRELA;Porto Estrela;MT
102;1721257;TUPIRAMA;Tupirama;TO
103;5108857;NOVA MARILÂNDIA;Nova Marilândia;MT
104;2100154;ÁGUA DOCE DO MARANHÃO;Água Doce do Maranhão;MA
105;1200104;BRASILÉIA;Brasiléia;AC
106;2100436;ALTO ALEGRE DO MARANHÃO;Alto Alegre do Maranhão;MA
107;1200203;CRUZEIRO DO SUL;Cruzeiro do Sul;AC
108;2100477;ALTO ALEGRE DO PINDARÉ;Alto Alegre do Pindaré;MA
109;1200336;MÂNCIO LIMA;Mâncio Lima;AC
110;2100550;AMAPÁ DO MARANHÃO;Amapá do Maranhão;MA
111;5108907;NOVA MARINGÁ;Nova Maringá;MT
112;2100832;APICUM-AÇU;Apicum-Açu;MA
113;1200302;FEIJÓ;Feijó;AC
114;2100873;ARAGUANÃ;Araguanã;MA
115;5107263;SANTO AFONSO;Santo Afonso;MT
116;2101251;BACABEIRA;Bacabeira;MA
117;5106158;NOVA BANDEIRANTES;Nova Bandeirantes;MT
118;2101350;BACURITUBA;Bacurituba;MA
119;5108956;NOVA MONTE VERDE;Nova Monte Verde;MT
120;2101731;BELÁGUA;Belágua;MA
121;5108808;NOVA GUARITA;Nova Guarita;MT
122;2101772;BELA VISTA DO MARANHÃO;Bela Vista do Maranhão;MA
123;5107248;SANTA CARMEM;Santa Carmem;MT
124;2101939;BERNARDO DO MEARIM;Bernardo do Mearim;MA
125;5107941;TABAPORÃ;Tabaporã;MT
